comps,compAVG
4,30000.0000
9,15485.2222
1,15570.0000
7,21365.1429
1,20791.0000
3,16320.0000
1,30331.0000
9,11427.0000
1,29500.0000
51,19465.7778
3,19039.0000
1,11622.0000
10,11704.8000
7,13523.1429
2,26409.0000
8,13172.3750
1,13523.0000
2,7456.6667
2,16066.0000
1,33239.0000
1,20112.0000
1,42362.0000
1,15856.0000
2,20435.0000
63,8284.4048
1,37704.0000
1,31654.0000
4,19329.0000
6,17448.8333
1,38738.0000
15,13178.5333
2,14495.5000
8,31346.0000
1,48553.0000
1,20002.0000
1,30669.0000
2,33997.5000
1,11891.0000
1,24958.0000
18,14715.5556
1,18316.0000
3,17118.3333
1,21746.0000
4,27417.7500
5,11641.2000
3,8206.0000
1,14348.0000
2,30528.5000
2,23719.0000
2,28729.5000
1,43318.0000
2,9321.5000
1,18196.0000
4,19669.6000
3,12001.6667
3,13240.0000
3,11613.0000
4,16786.0000
1,16237.0000
1,25086.0000
2,10062.5000
1,20252.0000
1,10018.0000
2,14236.5000
1,20424.0000
4,13901.2500
3,24017.0000
20,25726.7500
2,26148.5000
1,8108.0000
9,4546.1000
4,10524.5000
1,16303.0000
3,15643.0000
10,15396.6364
4,12012.0000
13,8320.8462
27,11812.5152
3,13866.0000
7,10793.1111
1,14945.0000
13,10460.6875
3,52145.0000
2,17118.0000
6,6286.8333
1,8619.0000
8,5936.2000
1,32661.0000
1,22059.0000
4,9016.7500
1,15974.0000
3,22654.0000
5,10713.6000
5,3856.0000
7,8298.0000
3,5978.3333
2,16939.0000
1,16643.0000
4,9905.7500
1,17602.0000
1,13777.0000
23,11170.4000
1,20037.0000
1,21628.0000
5,18177.6000
5,12368.0000
5,7586.0000
2,13846.6667
3,13769.3333
1,17267.0000
2,26741.0000
6,6483.1667
13,4361.6923
1,25479.0000
1,4935.0000
4,6263.5000
3,7532.0000
1,25451.0000
21,10321.5455
1,25256.0000
1,20669.0000
1,14976.0000
63,13575.5857
51,5939.2414
7,10073.4000
2,20311.0000
1,14885.0000
2,13134.5000
7,7424.1250
28,14280.0000
1,20707.0000
17,13520.2222
28,7547.9643
1,40732.0000
3,12775.6667
9,13287.6667
1,38793.0000
1,18620.0000
1,9408.0000
1,17115.0000
1,13835.0000
1,12255.0000
2,16768.5000
1,14005.0000
1,47956.0000
12,4288.0833
1,13875.0000
3,13243.3333
1,18531.0000
2,34896.3333
1,22123.0000
2,5150.5000
1,16425.0000
1,18012.0000
10,8353.0000
3,8163.3333
1,13785.0000
2,10514.0000
1,14494.0000
22,15041.0417
2,19027.5000
17,8897.4706
2,17778.5000
1,15016.0000
4,14040.2500
3,29676.6667
3,30209.3333
1,50204.0000
1,16745.0000
2,17219.5000
7,14128.5000
1,20244.0000
3,5008.0000
1,25887.0000
1,14045.0000
2,19595.0000
1,9353.0000
1,31167.0000
23,6553.5417
1,12396.0000
1,31367.0000
5,8029.6000
23,13463.6400
3,43391.6667
7,6740.5714
5,18375.0000
10,8859.8000
1,23968.0000
1,16687.0000
3,13178.6667
5,12615.0000
3,7602.6667
1,17806.0000
5,13294.8000
1,22786.0000
1,16595.0000
2,4757.5000
1,7690.0000
1,9992.0000
1,17770.0000
1,7246.0000
1,10518.0000
6,13428.7143
5,5475.2000
6,7505.5714
10,2732.6667
3,16714.0000
3,10071.0000
6,15584.5000
4,15800.2500
1,3494.0000
1,16105.0000
2,25998.0000
1,24489.0000
4,5998.7500
2,11944.5000
1,27348.0000
1,5360.0000
7,7972.8571
1,17084.0000
3,6671.3333
1,24280.0000
1,22940.0000
5,11745.6000
4,13173.8333
3,3556.6667
1,22219.0000
1,22045.0000
1,20443.0000
10,25636.5455
1,35810.0000
1,25418.0000
3,17619.0000
2,10186.3333
1,31246.0000
3,7477.2500
13,6793.1333
22,8939.5200
1,16074.0000
2,18837.0000
1,5585.0000
1,12634.0000
1,6471.0000
1,28018.0000
1,43828.0000
3,8325.0000
9,15600.4167
3,11836.6667
2,9790.0000
9,8281.3333
1,30391.0000
5,28141.8000
5,13990.6000
1,27922.0000
2,9160.0000
1,17847.0000
4,4273.5000
1,30319.0000
10,6269.0000
5,11571.2000
2,6620.5000
2,6407.3333
1,14968.0000
2,8091.0000
3,9860.6667
4,15565.0000
5,11477.2000
1,16867.0000
1,4728.0000
1,7005.0000
1,5029.0000
5,15738.1667
2,13323.0000
4,19041.2500
4,4614.0000
1,11962.0000
1,4693.0000
1,16398.0000
1,14859.0000
2,14597.0000
4,12490.0000
12,5635.8333
1,28622.0000
2,11584.5000
1,18160.0000
1,29461.0000
1,23606.0000
9,11934.4444
1,10398.0000
3,19447.3333
95,8748.5000
1,11761.0000
2,13347.5000
2,10371.5000
10,4245.6667
3,4829.6667
1,24828.0000
2,9900.5000
39,10628.9130
1,10645.0000
1,24996.0000
2,8893.0000
1,14360.0000
4,18658.7500
1,12866.0000
5,8497.2000
4,13075.0000
2,20119.0000
1,24021.0000
4,8539.0000
1,7248.0000
1,24246.0000
1,50091.0000
8,8458.2222
1,25115.0000
1,24857.0000
2,17355.5000
1,17445.0000
1,16073.0000
2,18018.5000
1,8926.0000
3,5262.6667
1,32807.0000
3,23326.6667
1,18014.0000
1,21588.0000
2,13200.5000
6,11320.1429
1,15161.0000
4,18389.0000
4,14750.5000
2,23770.0000
1,22016.0000
1,6106.0000
3,6371.7500
5,20398.0000
1,22178.0000
7,4774.1429
1,19692.0000
1,17984.0000
2,18201.5000
3,13113.0000
1,18435.0000
24,9012.3200
1,18624.0000
1,25265.0000
2,22512.0000
1,12385.0000
2,19441.5000
