comps,compAVG
4,17066.2000
1,36011.0000
20,12620.4762
3,23933.6667
1,38039.0000
159,12012.4051
11,26551.7273
1,35108.0000
43,18327.7442
1,26755.0000
6,29899.5714
11,15919.6667
6,15943.0000
1,40070.0000
3,29171.3333
2,42364.5000
5,22650.8000
8,14812.9167
21,12210.7600
2,17611.5000
2,20255.5000
19,14957.8000
3,26689.6667
1,34723.0000
1,31514.0000
1,56259.0000
4,20473.4000
87,15033.7527
1,17348.5000
4,16296.7500
1,22693.0000
2,29575.0000
2,31059.0000
1,23730.0000
2,19512.5000
7,17392.5714
2,36337.0000
1,31820.0000
1,50408.0000
4,21049.5000
89,13853.5579
4,14029.5000
1,33901.0000
1,52465.0000
4,28211.5000
50,12483.0484
13,23312.8462
1,27009.0000
2,45769.5000
27,14139.6333
5,24262.2000
4,21933.0000
5,24881.4000
136,7785.7489
1,18634.0000
3,38881.6667
41,9422.4677
9,14683.6000
1,34311.0000
11,16097.3636
1,51314.0000
2,29372.0000
6,19834.1667
58,13032.3333
3,19654.3333
1,25304.0000
14,16551.3333
1,32610.0000
6,12637.7500
15,11866.0625
27,10991.9063
1,28250.0000
4,27303.0000
10,26932.0000
1,21217.0000
1,27143.0000
2,32230.5000
18,15262.5238
1,29369.0000
2,42938.0000
8,46857.5000
60,10990.9615
63,9626.1744
1,34192.0000
2,25209.0000
2,13777.5000
4,16949.2500
14,17735.1429
1,13175.0000
1,46085.0000
7,17162.5714
1,19789.0000
1,26974.0000
5,18698.2000
1,37963.0000
120,11440.3169
2,27594.0000
1,113500.0000
3,23756.6667
1,43630.0000
31,11820.1176
1,23074.0000
3,29978.6667
2,17376.0000
4,16678.0000
7,20328.4286
1,21074.0000
1,36172.0000
7,12571.4444
1,40347.0000
7,15119.4286
6,22036.3333
4,20761.2500
2,17424.0000
1,43593.0000
97,10980.1440
10,18027.3000
16,11915.6818
18,12856.8077
2,20213.0000
17,11230.1111
3,24143.3333
2,20094.5000
69,12388.3023
1,19792.0000
5,13157.5000
1,25439.0000
2,29321.5000
14,11846.0000
2,15749.5000
7,14245.7500
1,24685.0000
28,13421.0313
5,11337.5000
1,22025.0000
2,16860.5000
118,12813.7639
30,13416.5758
1,23440.0000
27,9336.4516
2,18827.5000
25,7891.9091
13,12246.6875
120,6602.7285
3,16083.0000
2,17862.5000
12,9889.1176
2,13620.0000
7,14215.8750
6,11857.1250
16,15482.5000
2,14078.0000
2,15774.0000
4,21036.5000
8,12054.8000
12,8466.3810
1,25629.0000
1,26375.0000
2,11287.0000
13,15614.2308
10,12509.8000
1,25318.0000
5,16084.4000
3,19603.3333
80,9232.5673
7,44131.4286
2,22501.0000
1,21275.0000
5,17973.2000
3,12402.0000
26,12148.2414
1,20916.0000
5,36172.2000
2,15214.0000
1,16452.0000
39,9429.4328
80,8309.0970
41,9414.6364
2,20254.0000
11,11300.6364
38,11177.0392
2,16796.5000
11,20599.8182
3,14634.0000
4,21971.0000
1,29308.0000
2,20120.5000
2,16124.0000
5,14873.8000
7,18552.2857
2,17300.5000
36,12543.5000
5,12762.5000
33,11812.3250
5,15968.2000
22,8987.4390
19,13085.2083
1,15587.0000
81,6675.1138
17,11434.6190
21,13791.6364
4,17526.2500
18,12148.3000
13,12854.2857
5,13883.8000
5,15020.3333
3,14854.6667
2,20794.5000
5,10808.8571
7,13497.8571
22,10152.0000
8,16623.7500
2,28659.5000
4,17154.2500
1,16685.0000
3,20412.3333
55,12572.7719
4,15838.5000
2,22570.0000
26,9143.1395
1,31117.0000
1,17215.0000
1,37190.0000
30,11255.8462
4,15350.2500
1,40933.0000
1,26565.0000
2,20737.0000
1,36073.0000
4,21953.0000
2,12743.5000
1,45848.0000
21,11701.5000
1,25891.0000
4,9046.6000
3,12779.0000
5,14820.2000
7,13364.8750
3,17053.3333
10,19928.0000
16,10777.5926
13,11275.8462
20,11790.2000
61,17269.0476
7,20157.2857
5,18083.2000
58,8030.4051
39,11745.5116
3,18757.6667
14,14838.0714
