country,records,individuals,iso3
USA,308,66,USA
Australia,130,6,AUS
Poland,112,28,POL
China,100,22,CHN
Japan,73,16,JPN
Netherlands,61,9,NLD
Hungary,59,9,HUN
Germany,58,10,DEU
Sweden,30,10,SWE
Finland,22,3,FIN
France,21,9,FRA
United Kingdom,18,8,GBR
Peru,18,2,PER
Korea,18,9,KOR
Belgium,15,3,BEL
Denmark,15,5,DNK
Canada,14,7,CAN
Italy,11,6,ITA
Russia,9,2,RUS
Brazil,9,3,BRA
Taiwan,7,3,TWN
India,5,5,IND
Hong Kong,5,4,HKG
Malaysia,4,3,MYS
Israel,3,1,ISR
Indonesia,3,3,IDN
Czech Republic,3,2,CZE
Mexico,2,1,MEX
Spain,2,2,ESP
Thailand,2,1,THA
New Zealand,1,1,NZL
Philippines,1,1,PHL
Romania,1,1,ROU
Belarus,1,1,BLR
Argentina,1,1,ARG
