id,subid,name,countryId,gender,competitionId,eventId,roundTypeId,pos,best,average,personName,personId,personCountryId,formatId,value1,value2,value3,value4,value5,regionalSingleRecord,regionalAverageRecord
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealandChamps2009,333,f,1,1005,1374,Feliks Zemdegs,2009ZEMD01,Australia,a,1005,1258,1484,1381,1500,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealandChamps2009,333bf,f,1,15768,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,15768,0,0,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealandChamps2009,333,1,1,1071,1255,Feliks Zemdegs,2009ZEMD01,Australia,a,1071,1309,1393,1147,1308,OcR,OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealandChamps2009,333oh,f,1,2083,2372,Feliks Zemdegs,2009ZEMD01,Australia,a,2672,2431,2338,2347,2083,OcR,OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummerOpen2010,333bf,f,2,16996,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,16996,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummerOpen2010,333,1,1,833,1018,Feliks Zemdegs,2009ZEMD01,Australia,a,1038,1046,971,1059,833,OcR,OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummerOpen2010,333,f,1,869,921,Feliks Zemdegs,2009ZEMD01,Australia,a,891,883,1091,990,869,"",WR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummerOpen2010,333oh,f,1,1646,2071,Feliks Zemdegs,2009ZEMD01,Australia,a,2269,1697,2246,2781,1646,OcR,OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2010,333,1,1,894,1020,Feliks Zemdegs,2009ZEMD01,Australia,a,1071,1200,1006,984,894,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2010,333oh,d,1,1394,1920,Feliks Zemdegs,2009ZEMD01,Australia,a,1822,2584,1818,1394,2121,OcR,OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2010,333,2,1,847,937,Feliks Zemdegs,2009ZEMD01,Australia,a,847,956,925,1030,930,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2010,333bf,f,1,6519,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,6519,-1,-1,0,0,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2010,333oh,f,1,1283,1869,Feliks Zemdegs,2009ZEMD01,Australia,a,1630,1283,2078,1900,6497,OcR,OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2010,333,f,1,830,982,Feliks Zemdegs,2009ZEMD01,Australia,a,830,1318,915,1084,947,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealand2010,333oh,d,1,1722,1852,Feliks Zemdegs,2009ZEMD01,Australia,a,1859,1777,1722,2106,1921,"",OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealand2010,333,1,1,890,938,Feliks Zemdegs,2009ZEMD01,Australia,a,988,956,890,955,902,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealand2010,333bf,f,1,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealand2010,333oh,f,1,1358,1850,Feliks Zemdegs,2009ZEMD01,Australia,a,1747,2002,1358,1894,1909,"",OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,NewZealand2010,333,f,1,794,852,Feliks Zemdegs,2009ZEMD01,Australia,a,936,1411,802,819,794,OcR,WR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333,1,1,743,882,Feliks Zemdegs,2009ZEMD01,Australia,a,880,859,743,1181,906,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333bf,1,5,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333oh,d,1,1431,1476,Feliks Zemdegs,2009ZEMD01,Australia,a,1452,1575,1431,1502,1475,"",WR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333,2,1,771,968,Feliks Zemdegs,2009ZEMD01,Australia,a,993,771,1071,1219,840,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333oh,2,1,1608,1812,Feliks Zemdegs,2009ZEMD01,Australia,a,1697,1608,1905,1834,-1,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333oh,f,1,1566,1877,Feliks Zemdegs,2009ZEMD01,Australia,a,1956,1946,1566,1968,1728,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333,f,1,759,916,Feliks Zemdegs,2009ZEMD01,Australia,a,969,1144,859,919,759,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2010,333mbf,f,1,970036700,0,Feliks Zemdegs,2009ZEMD01,Australia,1,970036700,0,0,0,0,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333mbf,f,5,970281102,0,Feliks Zemdegs,2009ZEMD01,Australia,1,970281102,0,0,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333fm,f,1,32,0,Feliks Zemdegs,2009ZEMD01,Australia,1,32,0,0,0,0,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333,1,1,853,915,Feliks Zemdegs,2009ZEMD01,Australia,a,944,878,984,922,853,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333oh,1,1,1409,1570,Feliks Zemdegs,2009ZEMD01,Australia,a,1578,1409,1552,1784,1580,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333,2,1,808,949,Feliks Zemdegs,2009ZEMD01,Australia,a,1134,1013,981,853,808,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333,f,1,925,943,Feliks Zemdegs,2009ZEMD01,Australia,a,1322,925,958,927,944,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333oh,f,1,1246,1597,Feliks Zemdegs,2009ZEMD01,Australia,a,1405,1950,1436,1246,2002,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333bf,1,4,7306,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,7306,8343,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AsianChampionship2010,333bf,f,11,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333mbf,f,1,960258102,0,Feliks Zemdegs,2009ZEMD01,Australia,1,960258102,0,0,0,0,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333,1,1,703,907,Feliks Zemdegs,2009ZEMD01,Australia,a,1036,843,880,703,997,WR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333oh,d,1,1318,1672,Feliks Zemdegs,2009ZEMD01,Australia,a,1318,1565,1475,-1,1975,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333bf,f,1,7681,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,7681,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333,2,1,709,791,Feliks Zemdegs,2009ZEMD01,Australia,a,1178,740,763,869,709,"",WR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333oh,f,1,1272,1527,Feliks Zemdegs,2009ZEMD01,Australia,a,1571,1731,1446,1272,1565,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333,f,1,677,888,Feliks Zemdegs,2009ZEMD01,Australia,a,778,-1,1127,677,758,WR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2010,333fm,f,1,32,0,Feliks Zemdegs,2009ZEMD01,Australia,1,32,0,0,0,0,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333oh,d,1,1558,1851,Feliks Zemdegs,2009ZEMD01,Australia,a,1558,1908,-1,1855,1791,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333fm,f,1,34,0,Feliks Zemdegs,2009ZEMD01,Australia,1,34,0,0,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333bf,1,3,10246,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,10246,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333,1,1,665,806,Feliks Zemdegs,2009ZEMD01,Australia,a,665,1138,768,755,896,WR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333oh,2,1,1419,1572,Feliks Zemdegs,2009ZEMD01,Australia,a,1666,1488,1563,1905,1419,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333,2,1,825,916,Feliks Zemdegs,2009ZEMD01,Australia,a,963,925,825,859,1156,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333mbf,f,2,980334405,0,Feliks Zemdegs,2009ZEMD01,Australia,1,980334405,0,0,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333bf,f,3,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333oh,f,1,1127,1483,Feliks Zemdegs,2009ZEMD01,Australia,a,1127,1538,1658,1253,1663,OcR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2011,333,f,1,731,787,Feliks Zemdegs,2009ZEMD01,Australia,a,856,731,822,731,809,"",WR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,KubarooOpen2011,333,1,1,665,820,Feliks Zemdegs,2009ZEMD01,Australia,a,756,921,665,784,928,WR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,KubarooOpen2011,333oh,d,1,1116,1661,Feliks Zemdegs,2009ZEMD01,Australia,a,1746,1116,1647,1590,2963,WR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,KubarooOpen2011,333bf,f,5,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,KubarooOpen2011,333oh,f,1,1377,1441,Feliks Zemdegs,2009ZEMD01,Australia,a,1415,1430,1477,1731,1377,"",WR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,KubarooOpen2011,333,f,1,624,807,Feliks Zemdegs,2009ZEMD01,Australia,a,624,766,881,775,1068,WR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2011,333,1,1,618,860,Feliks Zemdegs,2009ZEMD01,Australia,a,688,991,618,961,931,WR,""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2011,333oh,d,1,1283,1476,Feliks Zemdegs,2009ZEMD01,Australia,a,1452,1461,1283,1516,1565,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2011,333,2,1,763,850,Feliks Zemdegs,2009ZEMD01,Australia,a,763,768,1130,936,846,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2011,333bf,f,1,4813,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,4813,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2011,333oh,f,1,1165,1593,Feliks Zemdegs,2009ZEMD01,Australia,a,1856,1409,1740,1165,1631,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneWinterOpen2011,333,f,1,566,764,Feliks Zemdegs,2009ZEMD01,Australia,a,703,811,836,566,778,WR,WR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333,f,1,730,827,Feliks Zemdegs,2009ZEMD01,Australia,a,828,730,808,971,844,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333oh,f,1,1290,1532,Feliks Zemdegs,2009ZEMD01,Australia,a,1475,1340,1850,1290,1781,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333bf,f,3,9658,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,9658,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333oh,2,1,1550,1748,Feliks Zemdegs,2009ZEMD01,Australia,a,2077,1666,1550,1927,1650,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333,2,1,665,841,Feliks Zemdegs,2009ZEMD01,Australia,a,834,765,665,946,925,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333mbf,f,3,960219902,0,Feliks Zemdegs,2009ZEMD01,Australia,3,960219902,-2,-2,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333bf,1,3,6438,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,6438,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333oh,d,1,1259,1422,Feliks Zemdegs,2009ZEMD01,Australia,a,1678,1328,1580,1259,1359,"",OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2011,333,1,1,777,839,Feliks Zemdegs,2009ZEMD01,Australia,a,858,790,1044,868,777,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333,1,1,747,804,Feliks Zemdegs,2009ZEMD01,Australia,a,861,786,766,971,747,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333,2,1,744,841,Feliks Zemdegs,2009ZEMD01,Australia,a,780,849,744,894,1093,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333,3,1,721,778,Feliks Zemdegs,2009ZEMD01,Australia,a,781,813,846,721,741,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333,f,3,913,958,Feliks Zemdegs,2009ZEMD01,Australia,a,921,946,1155,1006,913,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333bf,1,8,6603,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,6603,7396,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333bf,f,16,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333oh,1,2,1247,1459,Feliks Zemdegs,2009ZEMD01,Australia,a,1247,1475,1355,1843,1546,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333oh,2,6,1350,1660,Feliks Zemdegs,2009ZEMD01,Australia,a,1709,1972,1638,1350,1634,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333oh,f,6,1431,1684,Feliks Zemdegs,2009ZEMD01,Australia,a,1431,1513,1781,-1,1758,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333fm,f,6,33,0,Feliks Zemdegs,2009ZEMD01,Australia,1,33,0,0,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,WC2011,333mbf,c,19,980210903,0,Feliks Zemdegs,2009ZEMD01,Australia,2,980210903,0,0,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2011,333mbf,f,2,960156001,0,Feliks Zemdegs,2009ZEMD01,Australia,2,960156001,-2,0,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2011,333,1,1,655,831,Feliks Zemdegs,2009ZEMD01,Australia,a,781,655,871,1163,841,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2011,333oh,d,1,1190,1411,Feliks Zemdegs,2009ZEMD01,Australia,a,1459,1440,1190,1334,-1,"",OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneCubeDay2011,333bf,1,3,9183,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,9183,-1,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2012,333,1,1,830,936,Feliks Zemdegs,2009ZEMD01,Australia,a,925,994,1197,830,890,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2012,333oh,d,1,1236,1411,Feliks Zemdegs,2009ZEMD01,Australia,a,1263,1443,1528,1536,1236,"",OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2012,333,2,1,653,877,Feliks Zemdegs,2009ZEMD01,Australia,a,1016,981,788,863,653,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2012,333oh,f,1,1209,1360,Feliks Zemdegs,2009ZEMD01,Australia,a,1306,1209,1468,1568,1306,"",OcR
2009ZEMD01,1,Feliks Zemdegs,Australia,m,MelbourneSummer2012,333,f,1,734,885,Feliks Zemdegs,2009ZEMD01,Australia,a,906,940,808,1241,734,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2012,333,1,1,711,843,Feliks Zemdegs,2009ZEMD01,Australia,a,905,869,953,711,755,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2012,333oh,d,1,1343,1380,Feliks Zemdegs,2009ZEMD01,Australia,a,1400,1378,1343,1363,1527,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2012,333bf,1,2,6118,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,6118,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2012,333mbf,f,1,980150402,0,Feliks Zemdegs,2009ZEMD01,Australia,2,980150402,-2,0,0,0,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2012,333,2,1,750,819,Feliks Zemdegs,2009ZEMD01,Australia,a,803,869,2083,750,784,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2012,333oh,2,1,1175,1406,Feliks Zemdegs,2009ZEMD01,Australia,a,1175,1353,1438,1725,1427,"",""
2009ZEMD01,1,Feliks Zemdegs,Australia,m,AustralianNationals2012,333fm,f,3,40,0,Feliks Zemdegs,2009ZEMD01,Australia,1,40,0,0,0,0,"",""
