pyram,clock
711,2085
1333,1399
1117,3475
1397,3166
1606,1499
1264,2117
1147,974
1649,3336
936,1280
1681,3905
1793,2616
1192,1263
692,1161
1293,2342
3162,2994
707,910
1307,2442
4211,6329
433,1071
1515,2131
534,1039
1968,2750
1701,1851
1670,1923
3738,1771
1763,2525
730,1119
933,1345
1946,2821
1635,2975
450,2351
1664,1852
1055,1048
2012,2873
944,1010
3052,1232
479,943
1619,933
1408,1732
1199,1187
573,1193
2385,3474
2496,2959
537,1904
968,2043
1104,1516
1780,4004
646,1091
2116,2571
1008,1759
1175,2636
939,1351
951,1161
1230,1790
703,2006
616,1033
1048,3622
505,1104
826,1248
1315,1733
2320,2973
797,860
2483,2048
716,6632
801,1303
1019,2143
1284,2323
1342,2193
288,1283
282,1106
383,3062
1380,3311
2382,1593
2128,1439
2825,1907
1300,3886
1968,5623
1064,2627
1134,2984
940,1767
775,2319
989,2528
1332,3005
742,1244
998,1096
951,1874
715,1853
1603,8168
1526,3412
1638,3079
815,2027
659,2032
1418,3322
489,956
1710,4275
1158,1611
649,1097
1143,1365
1182,3982
1868,6401
1368,910
489,982
640,1327
977,4357
1546,4908
1965,3250
723,937
3994,3180
1150,1502
974,6024
833,2742
1561,3392
1392,1366
867,1413
2364,1354
549,772
982,2062
1463,3413
806,1471
1725,5647
875,4852
1107,1074
1702,3186
1170,4727
958,2084
797,1163
780,1144
2111,4563
1566,7523
982,3617
896,2282
2758,2050
441,831
1069,1159
878,2164
1311,1527
1472,3434
1960,1171
2083,5502
1368,1093
733,915
630,2120
721,1356
1233,3167
1634,2365
3141,1886
1198,2267
1370,2086
961,2293
599,1042
963,3149
990,854
835,1405
604,1811
817,1026
1127,1653
573,1366
1109,1712
714,1182
647,1125
629,1165
1450,2284
477,848
3041,3419
266,4261
1548,1777
429,766
3364,6057
1256,1060
1864,3111
475,846
509,972
1258,3633
321,2305
963,1626
676,2554
1629,4404
865,2334
1052,1879
796,1358
681,1831
671,1740
1206,2513
1469,3018
1460,6408
1505,4479
1146,1416
556,901
638,722
736,1801
1466,4217
725,1137
903,1271
2221,2601
492,1124
791,3930
1513,2249
2516,2104
1004,3676
821,1344
1546,2942
701,1750
1697,5585
1040,2005
723,1959
699,1745
485,953
957,1943
1402,5662
730,1064
538,1068
1260,1607
748,699
477,1846
1669,5174
765,3915
503,2558
1455,4905
4064,6922
1250,5106
1668,3852
804,4948
1585,2966
1753,1834
